p;pi+;p+;e+;K
0.5;0.0826506408338937;0.156883765682394;0.696101721938772;0.0572466559479896
0.51718009478673;0.083924723145337;0.155287248093765;0.690628828252751;0.0552885637318879
0.53436018957346;0.0851988054567802;0.153690730505136;0.685155934566731;0.0533304715157862
0.55154028436019;0.0864728877682235;0.152094212916507;0.67968304088071;0.0513723792996845
0.568720379146919;0.0877469700796667;0.150497695327878;0.67421014719469;0.0494142870835828
0.585900473933649;0.08902105239111;0.148901177739248;0.668737253508669;0.0474561948674811
0.603080568720379;0.0902951347025532;0.147304660150619;0.663264359822649;0.0454981026513793
0.620260663507109;0.0915692170139965;0.14570814256199;0.657791466136628;0.0435400104352776
0.637440758293839;0.0928432993254397;0.144111624973361;0.652318572450608;0.0415819182191759
0.654620853080569;0.094117381636883;0.142515107384732;0.646845678764587;0.0396238260030742
0.671800947867299;0.0953914639483262;0.140918589796102;0.641372785078567;0.0376657337869725
0.688981042654028;0.0966655462597695;0.139322072207473;0.635899891392546;0.0357076415708708
0.706161137440758;0.0979396285712127;0.137725554618844;0.630426997706526;0.0337495493547691
0.723341232227488;0.099213710882656;0.136129037030215;0.624954104020505;0.0317914571386674
0.740521327014218;0.100487793194099;0.134532519441586;0.619481210334485;0.0298333649225657
0.757701421800948;0.101761875505542;0.132936001852956;0.614008316648464;0.027875272706464
0.774881516587678;0.103035957816986;0.131339484264327;0.608535422962444;0.0259171804903623
0.792061611374408;0.104310040128429;0.129742966675698;0.603062529276423;0.0239590882742605
0.809241706161137;0.105584122439872;0.128146449087069;0.597589635590403;0.0220009960581588
0.826421800947867;0.106858204751315;0.126549931498439;0.592116741904382;0.0200429038420571
0.843601895734597;0.108132287062759;0.12495341390981;0.586643848218362;0.0180848116259554
0.860781990521327;0.109406369374202;0.123356896321181;0.581170954532341;0.0161267194098537
0.877962085308057;0.110680451685645;0.121760378732552;0.575698060846321;0.014168627193752
0.895142180094787;0.111954533997088;0.120163861143923;0.5702251671603;0.0122105349776503
0.912322274881517;0.113228616308532;0.118567343555293;0.56475227347428;0.0102524427615486
0.929502369668247;0.114502698619975;0.116970825966664;0.559279379788259;0.00829435054544688
0.946682464454976;0.115776780931418;0.115374308378035;0.553806486102239;0.00633625832934518
0.963862559241706;0.117050863242861;0.113777790789406;0.548333592416218;0.00437816611324347
0.981042654028436;0.118324945554305;0.112181273200777;0.544421151095647;0.00242007389714176
0.998222748815166;0.119599027865748;0.115115448989089;0.554484139287266;0.000461981681040062
1.0154028436019;0.120873110177191;0.117450361491147;0.564547127478885;-0.000747695826664432
1.03258293838863;0.121137984991403;0.117407862051259;0.55386874774793;-0.000377037016477318
1.04976303317536;0.119999604694247;0.11736536261137;0.531937113983202;-6.37820629020391E-06
1.06694312796209;0.118861224397092;0.117322863171482;0.54448734359992;0.000364280603896915
1.08412322274882;0.119389608308113;0.117280363731593;0.566197580110038;0.000534252987128726
1.10130331753555;0.131015359251756;0.117237864291705;0.544859853462012;0.000483886063499167
1.11848341232227;0.140131286279309;0.117195364851817;0.523522126813987;0.000433519139869609
1.135663507109;0.140707761220658;0.117152865411928;0.504311860281096;0.00038315221624005
1.15284360189573;0.141284236162006;0.11711036597204;0.50372967766706;0.000332785292610491
